0,output vector,fault1,fault2,fault3,fault4
0,0 0 0 0 0 0 0 0 0,3,3,0,0
1,1 1 1 1 1 1 1 1 1,6,141,1748,12603
2,0 0 0 0 1 1 1 1 1,6,72,455,1485
3,0 1 1 1 1 1 1 1 0,3,27,0,0
4,0 0 0 0 0 0 0 0 1,1,3,0,0
5,0 0 0 0 1 1 1 1 0,3,18,0,0
6,0 0 0 0 0 0 1 1 0,2,4,0,0
7,0 0 0 0 1 0 0 0 0,1,3,0,0
8,0 0 0 0 0 1 0 0 0,2,7,0,0
9,1 0 0 0 1 1 1 1 1,0,18,361,1827
10,0 1 1 1 1 1 1 1 1,0,21,361,1635
11,1 1 1 1 1 1 1 1 0,0,9,0,0
12,1 0 0 0 1 1 1 1 0,0,9,0,0
13,1 0 0 0 0 0 1 1 0,0,3,0,0
14,0 0 0 0 0 0 1 1 1,0,2,0,0
15,0 0 0 0 1 0 0 0 1,0,1,0,0
16,0 0 0 0 0 1 0 0 1,0,2,0,0
17,0 0 0 0 1 0 1 1 0,0,2,0,0
18,0 0 0 0 0 1 1 1 0,0,4,0,0
19,0 0 0 0 1 1 0 0 0,0,2,0,0
20,total,27,351,2925,17550
